concept:name;case:concept:name;time:timestamp;end;type;user;travel_start;travel_end;cost
decide on travel expense approval;1469;25.04.17 13:59;25.04.17 14:06;Manager;JH852;09.04.17;23.04.17;
send original documents to archive;1469;28.04.17 06:59;28.04.17 07:53;Employee;GV7676;09.04.17;23.04.17;
calculate payments;1469;10.05.17 08:59;10.05.17 09:21;Accounting;GR7476;09.04.17;23.04.17;4364,5
pay expenses;1469;19.05.17 14:36;19.05.17 14:47;Accounting;GR7476;09.04.17;23.04.17;1679,5
file travel request;1470;02.01.17 05:59;02.01.17 06:29;Employee;MJ2847;15.03.17;30.03.17;1734,94
check if travel request needs preliminary price inquiry;1470;02.01.17 06:29;02.01.17 06:31;;;15.03.17;30.03.17;
prepare booking proposal;1470;04.01.17 09:35;04.01.17 10:27;Travel Department;AW2532;15.03.17;30.03.17;
send booking proposal to employee;1470;06.01.17 11:13;06.01.17 11:16;Travel Department;AW2532;15.03.17;30.03.17;
check booking proposal;1470;06.01.17 14:38;06.01.17 14:40;Employee;MJ2847;15.03.17;30.03.17;
check if price inquiry is still needed and up to date;1470;16.01.17 05:59;16.01.17 06:18;Employee;MJ2847;15.03.17;30.03.17;
request update of the booking proposal;1470;16.01.17 06:18;16.01.17 06:18;Employee;MJ2847;15.03.17;30.03.17;
prepare booking proposal;1470;18.01.17 13:05;18.01.17 14:13;Travel Department;AW2532;15.03.17;30.03.17;
send booking proposal to employee;1470;23.01.17 10:44;23.01.17 10:46;Travel Department;AW2532;15.03.17;30.03.17;
check booking proposal;1470;23.01.17 16:18;23.01.17 16:20;Employee;MJ2847;15.03.17;30.03.17;
transform price inquiry to travel request;1470;23.01.17 16:26;23.01.17 16:26;Employee;MJ2847;15.03.17;30.03.17;
decide on approval requirements;1470;23.01.17 16:26;23.01.17 16:27;;;15.03.17;30.03.17;
forward request to approver;1470;23.01.17 16:27;23.01.17 16:28;;;15.03.17;30.03.17;
decide on request;1470;24.01.17 12:59;24.01.17 13:00;Manager;CV4719;15.03.17;30.03.17;
check if booking is necessary;1470;27.01.17 10:26;27.01.17 10:37;Travel Department;AW2532;15.03.17;30.03.17;
prepare booking proposal;1470;01.02.17 10:50;01.02.17 11:52;Travel Department;AW2532;15.03.17;30.03.17;
send booking proposal to employee;1470;06.02.17 08:10;06.02.17 08:12;Travel Department;AW2532;15.03.17;30.03.17;
check booking proposal;1470;06.02.17 11:36;06.02.17 11:38;Employee;MJ2847;15.03.17;30.03.17;
check if travel request is still needed and up to date;1470;15.02.17 06:36;15.02.17 07:14;Employee;MJ2847;15.03.17;30.03.17;
request update of the booking proposal;1470;15.02.17 07:14;15.02.17 07:15;Employee;MJ2847;15.03.17;30.03.17;
prepare booking proposal;1470;20.02.17 10:54;20.02.17 11:57;Travel Department;AW2532;15.03.17;30.03.17;
send booking proposal to employee;1470;24.02.17 11:48;24.02.17 11:51;Travel Department;AW2532;15.03.17;30.03.17;
check booking proposal;1470;24.02.17 13:43;24.02.17 13:48;Employee;MJ2847;15.03.17;30.03.17;
book travel;1470;01.03.17 13:02;01.03.17 16:00;Travel Department;AW2532;15.03.17;30.03.17;
check if expense documents exist;1470;10.04.17 06:59;10.04.17 07:33;Employee;MJ2847;15.03.17;30.03.17;
file travel expense report;1470;10.04.17 07:33;10.04.17 07:40;Employee;MJ2847;15.03.17;30.03.17;
confirm travel expense report;1470;10.04.17 07:40;10.04.17 07:43;Employee;MJ2847;15.03.17;30.03.17;
decide on travel expense approval;1470;10.04.17 14:04;10.04.17 14:06;Manager;CV4719;15.03.17;30.03.17;
send request for travel expense correction;1470;10.04.17 14:06;10.04.17 14:06;;;15.03.17;30.03.17;
correct travel expense report;1470;12.04.17 14:19;12.04.17 14:54;Employee;MJ2847;15.03.17;30.03.17;
decide on travel expense approval;1470;13.04.17 13:59;13.04.17 14:01;Manager;CV4719;15.03.17;30.03.17;
send original documents to archive;1470;24.04.17 06:59;24.04.17 07:53;Employee;MJ2847;15.03.17;30.03.17;
calculate payments;1470;15.05.17 09:06;15.05.17 09:55;Accounting;GR7476;15.03.17;30.03.17;1756,07
pay expenses;1470;22.05.17 10:28;22.05.17 10:35;Accounting;GR7476;15.03.17;30.03.17;1498,07
file travel request;1471;02.01.17 05:59;02.01.17 06:03;Employee;XY6547;17.04.17;06.05.17;3290,4
check if travel request needs preliminary price inquiry;1471;02.01.17 06:03;02.01.17 06:04;;;17.04.17;06.05.17;
prepare booking proposal;1471;03.01.17 15:47;03.01.17 16:54;Travel Department;KS9688;17.04.17;06.05.17;
send booking proposal to employee;1471;05.01.17 15:24;05.01.17 15:29;Travel Department;KS9688;17.04.17;06.05.17;
check booking proposal;1471;05.01.17 19:50;05.01.17 19:59;Employee;XY6547;17.04.17;06.05.17;
transform price inquiry to travel request;1471;05.01.17 20:05;05.01.17 20:06;Employee;XY6547;17.04.17;06.05.17;
decide on approval requirements;1471;05.01.17 20:06;05.01.17 20:06;;;17.04.17;06.05.17;
forward request to approver;1471;05.01.17 20:06;05.01.17 20:07;;;17.04.17;06.05.17;
decide on request;1471;06.01.17 12:59;06.01.17 13:03;Manager;MA6233;17.04.17;06.05.17;
send request for correction;1471;06.01.17 13:03;06.01.17 13:04;;;17.04.17;06.05.17;
correct request;1471;03.02.17 08:04;03.02.17 08:35;Employee;XY6547;17.04.17;06.05.17;
decide on approval requirements;1471;03.02.17 08:35;03.02.17 08:36;;;17.04.17;06.05.17;
forward request to approver;1471;03.02.17 08:36;03.02.17 08:36;;;17.04.17;06.05.17;
check if booking is necessary;1471;07.02.17 12:37;07.02.17 12:41;Travel Department;KS9688;17.04.17;06.05.17;
check if expense documents exist;1471;12.05.17 12:04;12.05.17 12:50;Employee;XY6547;17.04.17;06.05.17;
upload travel expense documents;1471;12.05.17 12:50;12.05.17 12:58;Employee;XY6547;17.04.17;06.05.17;
file travel expense report;1471;12.05.17 12:58;12.05.17 13:03;Employee;XY6547;17.04.17;06.05.17;
confirm travel expense report;1471;12.05.17 13:03;12.05.17 13:04;Employee;XY6547;17.04.17;06.05.17;
decide on travel expense approval;1471;12.05.17 14:01;12.05.17 14:04;Manager;MA6233;17.04.17;06.05.17;
send original documents to archive;1471;22.05.17 13:01;22.05.17 13:20;Employee;XY6547;17.04.17;06.05.17;
calculate payments;1471;22.06.17 08:59;22.06.17 09:34;Accounting;FI12;17.04.17;06.05.17;3272,03
pay expenses;1471;26.06.17 09:17;26.06.17 09:28;Accounting;FI12;17.04.17;06.05.17;3272,03
file travel request;1473;02.01.17 05:59;02.01.17 06:14;Employee;IX6854;26.01.17;30.01.17;430,9
check if travel request needs preliminary price inquiry;1473;02.01.17 06:14;02.01.17 06:14;;;26.01.17;30.01.17;
decide on approval requirements;1473;02.01.17 06:14;02.01.17 06:15;;;26.01.17;30.01.17;
check if booking is necessary;1473;04.01.17 08:02;04.01.17 08:05;Travel Department;KS9688;26.01.17;30.01.17;
prepare booking proposal;1473;06.01.17 09:28;06.01.17 11:11;Travel Department;KS9688;26.01.17;30.01.17;
send booking proposal to employee;1473;10.01.17 12:09;10.01.17 12:12;Travel Department;KS9688;26.01.17;30.01.17;
check booking proposal;1473;10.01.17 13:51;10.01.17 13:52;Employee;IX6854;26.01.17;30.01.17;
book travel;1473;13.01.17 07:59;13.01.17 09:16;Travel Department;KS9688;26.01.17;30.01.17;
check if expense documents exist;1473;02.02.17 20:50;02.02.17 21:14;Employee;IX6854;26.01.17;30.01.17;
upload travel expense documents;1473;02.02.17 21:14;02.02.17 21:26;Employee;IX6854;26.01.17;30.01.17;
file travel expense report;1473;02.02.17 21:26;02.02.17 21:38;Employee;IX6854;26.01.17;30.01.17;
confirm travel expense report;1473;02.02.17 21:38;02.02.17 21:39;Employee;IX6854;26.01.17;30.01.17;
decide on travel expense approval;1473;03.02.17 12:59;03.02.17 13:04;Manager;AK7488;26.01.17;30.01.17;
send original documents to archive;1473;13.02.17 19:21;13.02.17 19:38;Employee;IX6854;26.01.17;30.01.17;
calculate payments;1473;13.03.17 10:18;13.03.17 11:01;Accounting;GU1789;26.01.17;30.01.17;433,82
pay expenses;1473;03.04.17 10:04;03.04.17 11:10;Accounting;GU1789;26.01.17;30.01.17;413,82
file travel request;1475;02.01.17 05:59;02.01.17 06:17;Employee;DM7475;05.03.17;09.03.17;357,29
check if travel request needs preliminary price inquiry;1475;02.01.17 06:17;02.01.17 06:17;;;05.03.17;09.03.17;
prepare booking proposal;1475;04.01.17 08:10;04.01.17 08:37;Travel Department;WG5857;05.03.17;09.03.17;
send booking proposal to employee;1475;06.01.17 10:31;06.01.17 10:34;Travel Department;WG5857;05.03.17;09.03.17;
check booking proposal;1475;06.01.17 12:58;06.01.17 13:01;Employee;DM7475;05.03.17;09.03.17;
transform price inquiry to travel request;1475;06.01.17 13:02;06.01.17 13:02;Employee;DM7475;05.03.17;09.03.17;
decide on approval requirements;1475;06.01.17 13:02;06.01.17 13:03;;;05.03.17;09.03.17;
check if booking is necessary;1475;10.01.17 13:03;10.01.17 13:09;Travel Department;WG5857;05.03.17;09.03.17;
prepare booking proposal;1475;12.01.17 15:54;12.01.17 16:48;Travel Department;WG5857;05.03.17;09.03.17;
send booking proposal to employee;1475;17.01.17 12:40;17.01.17 12:43;Travel Department;WG5857;05.03.17;09.03.17;
check booking proposal;1475;17.01.17 19:10;17.01.17 19:19;Employee;DM7475;05.03.17;09.03.17;
book travel;1475;20.01.17 11:59;20.01.17 13:32;Travel Department;WG5857;05.03.17;09.03.17;
check if expense documents exist;1475;14.03.17 05:59;14.03.17 06:39;Employee;DM7475;05.03.17;09.03.17;
file travel expense report;1475;14.03.17 06:39;14.03.17 06:44;Employee;DM7475;05.03.17;09.03.17;
confirm travel expense report;1475;14.03.17 06:44;14.03.17 06:45;Employee;DM7475;05.03.17;09.03.17;
decide on travel expense approval;1475;14.03.17 12:59;14.03.17 13:03;Manager;YS1169;05.03.17;09.03.17;
send request for travel expense correction;1475;14.03.17 13:03;14.03.17 13:04;;;05.03.17;09.03.17;
correct travel expense report;1475;20.03.17 05:59;20.03.17 06:32;Employee;DM7475;05.03.17;09.03.17;
decide on travel expense approval;1475;20.03.17 13:01;20.03.17 13:07;Manager;YS1169;05.03.17;09.03.17;
send request for travel expense correction;1475;20.03.17 13:07;20.03.17 13:08;;;05.03.17;09.03.17;
correct travel expense report;1475;22.03.17 13:48;22.03.17 14:28;Employee;DM7475;05.03.17;09.03.17;
decide on travel expense approval;1475;23.03.17 12:59;23.03.17 13:00;Manager;YS1169;05.03.17;09.03.17;
send original documents to archive;1475;06.04.17 12:54;06.04.17 14:01;Employee;DM7475;05.03.17;09.03.17;
calculate payments;1475;10.04.17 09:13;10.04.17 10:46;Accounting;CX8911;05.03.17;09.03.17;374,33
pay expenses;1475;12.04.17 08:59;12.04.17 09:09;Accounting;CX8911;05.03.17;09.03.17;278,33
file travel request;1476;02.01.17 05:59;02.01.17 06:02;Employee;RS7246;26.01.17;28.01.17;276,11
check if travel request needs preliminary price inquiry;1476;02.01.17 06:02;02.01.17 06:02;;;26.01.17;28.01.17;
decide on approval requirements;1476;02.01.17 06:02;02.01.17 06:03;;;26.01.17;28.01.17;
check if booking is necessary;1476;03.01.17 15:42;03.01.17 15:46;Travel Department;JV9257;26.01.17;28.01.17;
prepare booking proposal;1476;05.01.17 15:03;05.01.17 15:36;Travel Department;JV9257;26.01.17;28.01.17;
send booking proposal to employee;1476;10.01.17 08:12;10.01.17 08:15;Travel Department;JV9257;26.01.17;28.01.17;
check booking proposal;1476;10.01.17 11:29;10.01.17 11:33;Employee;RS7246;26.01.17;28.01.17;
book travel;1476;12.01.17 13:33;12.01.17 15:49;Travel Department;JV9257;26.01.17;28.01.17;
check if expense documents exist;1476;30.01.17 15:02;30.01.17 15:10;Employee;RS7246;26.01.17;28.01.17;
file travel expense report;1476;30.01.17 15:10;30.01.17 15:23;Employee;RS7246;26.01.17;28.01.17;
confirm travel expense report;1476;30.01.17 15:23;30.01.17 15:26;Employee;RS7246;26.01.17;28.01.17;
decide on travel expense approval;1476;31.01.17 12:59;31.01.17 13:04;Manager;OX4346;26.01.17;28.01.17;
send original documents to archive;1476;07.02.17 20:10;07.02.17 20:35;Employee;RS7246;26.01.17;28.01.17;
calculate payments;1476;27.03.17 08:51;27.03.17 10:16;Accounting;FI12;26.01.17;28.01.17;302,6
pay expenses;1476;03.04.17 11:38;03.04.17 11:47;Accounting;FI12;26.01.17;28.01.17;242,6
file travel request;1478;02.01.17 05:59;02.01.17 06:10;Employee;BM3117;09.03.17;12.03.17;290,48
check if travel request needs preliminary price inquiry;1478;02.01.17 06:10;02.01.17 06:11;;;09.03.17;12.03.17;
decide on approval requirements;1478;02.01.17 06:11;02.01.17 06:12;;;09.03.17;12.03.17;
check if booking is necessary;1478;04.01.17 07:59;04.01.17 08:03;Travel Department;KS9688;09.03.17;12.03.17;
check if expense documents exist;1478;13.03.17 08:50;13.03.17 09:34;Employee;BM3117;09.03.17;12.03.17;
file travel expense report;1478;13.03.17 09:34;13.03.17 09:46;Employee;BM3117;09.03.17;12.03.17;
confirm travel expense report;1478;13.03.17 09:46;13.03.17 09:48;Employee;BM3117;09.03.17;12.03.17;
decide on travel expense approval;1478;13.03.17 13:10;13.03.17 13:10;Manager;MA6233;09.03.17;12.03.17;
send request for travel expense correction;1478;13.03.17 13:10;13.03.17 13:11;;;09.03.17;12.03.17;
correct travel expense report;1478;20.03.17 05:59;20.03.17 06:26;Employee;BM3117;09.03.17;12.03.17;
decide on travel expense approval;1478;20.03.17 12:59;20.03.17 13:00;Manager;MA6233;09.03.17;12.03.17;
send original documents to archive;1478;07.04.17 08:33;07.04.17 10:08;Employee;BM3117;09.03.17;12.03.17;
calculate payments;1478;21.04.17 08:04;21.04.17 09:34;Accounting;WE5108;09.03.17;12.03.17;298,71
pay expenses;1478;25.04.17 09:12;25.04.17 09:18;Accounting;WE5108;09.03.17;12.03.17;298,71
file travel request;1487;02.01.17 12:20;02.01.17 12:27;Employee;GX4142;15.02.17;18.02.17;327,41
check if travel request needs preliminary price inquiry;1487;02.01.17 12:27;02.01.17 12:27;;;15.02.17;18.02.17;
decide on approval requirements;1487;02.01.17 12:27;02.01.17 12:28;;;15.02.17;18.02.17;
check if booking is necessary;1487;04.01.17 13:01;04.01.17 13:07;Travel Department;NV2279;15.02.17;18.02.17;
prepare booking proposal;1487;06.01.17 11:47;06.01.17 13:50;Travel Department;NV2279;15.02.17;18.02.17;
send booking proposal to employee;1487;10.01.17 13:53;10.01.17 13:55;Travel Department;NV2279;15.02.17;18.02.17;
check booking proposal;1487;10.01.17 16:50;10.01.17 16:51;Employee;GX4142;15.02.17;18.02.17;
book travel;1487;13.01.17 11:28;13.01.17 14:24;Travel Department;NV2279;15.02.17;18.02.17;
check if expense documents exist;1487;20.02.17 05:59;20.02.17 06:34;Employee;GX4142;15.02.17;18.02.17;
file travel expense report;1487;20.02.17 06:34;20.02.17 06:50;Employee;GX4142;15.02.17;18.02.17;
confirm travel expense report;1487;20.02.17 06:50;20.02.17 06:51;Employee;GX4142;15.02.17;18.02.17;
decide on travel expense approval;1487;20.02.17 13:05;20.02.17 13:08;Manager;MV9004;15.02.17;18.02.17;
send original documents to archive;1487;27.02.17 05:59;27.02.17 06:39;Employee;GX4142;15.02.17;18.02.17;
calculate payments;1487;07.03.17 07:59;07.03.17 08:37;Accounting;JH2172;15.02.17;18.02.17;292,87
pay expenses;1487;21.03.17 08:21;21.03.17 08:33;Accounting;JH2172;15.02.17;18.02.17;123,87
file travel request;1488;02.01.17 13:51;02.01.17 14:04;Employee;TE1793;27.03.17;30.03.17;370,91
check if travel request needs preliminary price inquiry;1488;02.01.17 14:04;02.01.17 14:06;;;27.03.17;30.03.17;
prepare booking proposal;1488;04.01.17 14:46;04.01.17 15:35;Travel Department;WG5857;27.03.17;30.03.17;
send booking proposal to employee;1488;06.01.17 14:55;06.01.17 14:58;Travel Department;WG5857;27.03.17;30.03.17;
check booking proposal;1488;06.01.17 17:34;06.01.17 17:43;Employee;TE1793;27.03.17;30.03.17;
check if price inquiry is still needed and up to date;1488;16.01.17 05:59;16.01.17 06:14;Employee;TE1793;27.03.17;30.03.17;
request update of the booking proposal;1488;16.01.17 06:14;16.01.17 06:14;Employee;TE1793;27.03.17;30.03.17;
prepare booking proposal;1488;18.01.17 12:35;18.01.17 12:56;Travel Department;WG5857;27.03.17;30.03.17;
send booking proposal to employee;1488;23.01.17 07:59;23.01.17 08:00;Travel Department;WG5857;27.03.17;30.03.17;
check booking proposal;1488;23.01.17 08:42;23.01.17 08:43;Employee;TE1793;27.03.17;30.03.17;
transform price inquiry to travel request;1488;23.01.17 08:58;23.01.17 08:58;Employee;TE1793;27.03.17;30.03.17;
decide on approval requirements;1488;23.01.17 08:58;23.01.17 09:00;;;27.03.17;30.03.17;
check if booking is necessary;1488;26.01.17 15:25;26.01.17 15:29;Travel Department;WG5857;27.03.17;30.03.17;
check if expense documents exist;1488;03.04.17 06:59;03.04.17 07:56;Employee;TE1793;27.03.17;30.03.17;
file travel expense report;1488;03.04.17 07:56;03.04.17 08:08;Employee;TE1793;27.03.17;30.03.17;
confirm travel expense report;1488;03.04.17 08:08;03.04.17 08:08;Employee;TE1793;27.03.17;30.03.17;
decide on travel expense approval;1488;03.04.17 14:08;03.04.17 14:13;Manager;TF7102;27.03.17;30.03.17;
send original documents to archive;1488;12.04.17 10:09;12.04.17 10:17;Employee;TE1793;27.03.17;30.03.17;
calculate payments;1488;08.05.17 11:01;08.05.17 11:55;Accounting;GR7476;27.03.17;30.03.17;317,21
pay expenses;1488;10.05.17 09:21;10.05.17 09:25;Accounting;GR7476;27.03.17;30.03.17;317,21
file travel request;1492;02.01.17 19:49;02.01.17 20:03;Employee;RG9993;21.02.17;23.02.17;195,99
check if travel request needs preliminary price inquiry;1492;02.01.17 20:03;02.01.17 20:03;;;21.02.17;23.02.17;
decide on approval requirements;1492;02.01.17 20:03;02.01.17 20:03;;;21.02.17;23.02.17;
check if booking is necessary;1492;05.01.17 09:54;05.01.17 09:58;Travel Department;JV9257;21.02.17;23.02.17;
prepare booking proposal;1492;09.01.17 10:46;09.01.17 11:08;Travel Department;JV9257;21.02.17;23.02.17;
send booking proposal to employee;1492;11.01.17 14:22;11.01.17 14:24;Travel Department;JV9257;21.02.17;23.02.17;
check booking proposal;1492;11.01.17 14:45;11.01.17 14:47;Employee;RG9993;21.02.17;23.02.17;
book travel;1492;16.01.17 12:03;16.01.17 15:04;Travel Department;JV9257;21.02.17;23.02.17;
check if expense documents exist;1492;27.02.17 17:28;27.02.17 18:29;Employee;RG9993;21.02.17;23.02.17;
upload travel expense documents;1492;27.02.17 18:29;27.02.17 18:40;Employee;RG9993;21.02.17;23.02.17;
file travel expense report;1492;27.02.17 18:40;27.02.17 18:47;Employee;RG9993;21.02.17;23.02.17;
confirm travel expense report;1492;27.02.17 18:47;27.02.17 18:47;Employee;RG9993;21.02.17;23.02.17;
decide on travel expense approval;1492;28.02.17 12:59;28.02.17 13:02;Manager;AK7488;21.02.17;23.02.17;
send request for travel expense correction;1492;28.02.17 13:02;28.02.17 13:03;;;21.02.17;23.02.17;
correct travel expense report;1492;02.03.17 17:23;02.03.17 17:51;Employee;RG9993;21.02.17;23.02.17;
decide on travel expense approval;1492;03.03.17 12:59;03.03.17 13:01;Manager;AK7488;21.02.17;23.02.17;
send request for travel expense correction;1492;03.03.17 13:01;03.03.17 13:02;;;21.02.17;23.02.17;
correct travel expense report;1492;06.03.17 05:59;06.03.17 06:06;Employee;RG9993;21.02.17;23.02.17;
decide on travel expense approval;1492;06.03.17 12:59;06.03.17 13:01;Manager;AK7488;21.02.17;23.02.17;
send original documents to archive;1492;10.03.17 05:59;10.03.17 06:03;Employee;RG9993;21.02.17;23.02.17;
calculate payments;1492;07.04.17 08:04;07.04.17 09:30;Accounting;FQ3758;21.02.17;23.02.17;192,74
pay expenses;1492;14.04.17 11:44;14.04.17 11:57;Accounting;FQ3758;21.02.17;23.02.17;184,74
file travel request;1499;03.01.17 06:17;03.01.17 06:36;Employee;PV6052;04.02.17;07.02.17;381,78
check if travel request needs preliminary price inquiry;1499;03.01.17 06:36;03.01.17 06:38;;;04.02.17;07.02.17;
decide on approval requirements;1499;03.01.17 06:38;03.01.17 06:39;;;04.02.17;07.02.17;
check if booking is necessary;1499;05.01.17 10:50;05.01.17 10:51;Travel Department;WG5857;04.02.17;07.02.17;
prepare booking proposal;1499;09.01.17 12:08;09.01.17 13:19;Travel Department;WG5857;04.02.17;07.02.17;
send booking proposal to employee;1499;11.01.17 14:36;11.01.17 14:39;Travel Department;WG5857;04.02.17;07.02.17;
check booking proposal;1499;11.01.17 20:45;11.01.17 20:46;Employee;PV6052;04.02.17;07.02.17;
book travel;1499;16.01.17 15:57;16.01.17 17:25;Travel Department;WG5857;04.02.17;07.02.17;
check if expense documents exist;1499;08.02.17 12:54;08.02.17 13:09;Employee;PV6052;04.02.17;07.02.17;
upload travel expense documents;1499;08.02.17 13:09;08.02.17 13:22;Employee;PV6052;04.02.17;07.02.17;
file travel expense report;1499;08.02.17 13:22;08.02.17 13:27;Employee;PV6052;04.02.17;07.02.17;
decide on request;1499;08.02.17 13:23;08.02.17 13:27;Manager;MA6233;04.02.17;07.02.17;
confirm travel expense report;1499;08.02.17 13:27;08.02.17 13:32;Employee;PV6052;04.02.17;07.02.17;
decide on travel expense approval;1499;09.02.17 12:59;09.02.17 13:05;Manager;MA6233;04.02.17;07.02.17;
send original documents to archive;1499;24.02.17 05:59;24.02.17 06:23;Employee;PV6052;04.02.17;07.02.17;
calculate payments;1499;08.03.17 07:59;08.03.17 08:49;Accounting;VA7847;04.02.17;07.02.17;354,58
pay expenses;1499;13.03.17 09:13;13.03.17 09:20;Accounting;VA7847;04.02.17;07.02.17;262,58
file travel request;1500;03.01.17 08:01;03.01.17 08:20;Employee;VP8299;09.01.17;24.01.17;1772,78
check if travel request needs preliminary price inquiry;1500;03.01.17 08:20;03.01.17 08:22;;;09.01.17;24.01.17;
