stage;activity;case;start;end;case start;case end;previous;current;waiting_time_day;waiting_time_min;activity_duration_min;total_min;total_days;previous;case_aggregate_min;case_aggregate_days;type;user;till_trip_starts;travel_start;travel_end;travel_duration;since_trip_end;cost;kind_of_non-conformance
planning;check if travel request is still needed and up to date;1470;15.02.17 06:36;15.02.17 07:14;NO;NO;check booking proposal;check if travel request is still needed and up to date;8,79;12658;38;12696;8,82;50739;63435;44,05;Employee;MJ2847;27,7;15.03.17;30.03.17;15;;;truly non-conforming
planning;request update of the booking proposal;1470;15.02.17 07:14;15.02.17 07:15;NO;NO;check if travel request is still needed and up to date;request update of the booking proposal;0;0;1;1;0;63435;63436;44,05;Employee;MJ2847;27,7;15.03.17;30.03.17;15;;;truly non-conforming
planning;prepare booking proposal;1470;20.02.17 10:54;20.02.17 11:57;NO;NO;request update of the booking proposal;prepare booking proposal;5,15;7419;63;7482;5,2;63436;70918;49,25;Travel Department;AW2532;22,5;15.03.17;30.03.17;15;;;truly non-conforming
planning;send booking proposal to employee;1470;24.02.17 11:48;24.02.17 11:51;NO;NO;prepare booking proposal;send booking proposal to employee;3,99;5751;3;5754;4;70918;76672;53,24;Travel Department;AW2532;18,51;15.03.17;30.03.17;15;;;truly non-conforming
planning;check booking proposal;1470;24.02.17 13:43;24.02.17 13:48;NO;NO;send booking proposal to employee;check booking proposal;0,08;112;5;117;0,08;76672;76789;53,33;Employee;MJ2847;18,43;15.03.17;30.03.17;15;;;truly non-conforming
planning;book travel;1470;01.03.17 13:02;01.03.17 16:00;NO;NO;check booking proposal;book travel;4,97;7154;178;7332;5,09;76789;84121;58,42;Travel Department;AW2532;13,33;15.03.17;30.03.17;15;;;truly non-conforming
reporting;check if expense documents exist;1470;10.04.17 06:59;10.04.17 07:33;NO;NO;book travel;check if expense documents exist;39,62;57059;34;57093;39,65;84121;141214;98,07;Employee;MJ2847;;15.03.17;30.03.17;15;11,29;;truly non-conforming
reporting;file travel expense report;1470;10.04.17 07:33;10.04.17 07:40;NO;NO;check if expense documents exist;file travel expense report;0;0;7;7;0;141214;141221;98,07;Employee;MJ2847;;15.03.17;30.03.17;15;11,31;;truly non-conforming
reporting;confirm travel expense report;1470;10.04.17 07:40;10.04.17 07:43;NO;NO;file travel expense report;confirm travel expense report;0;0;3;3;0;141221;141224;98,07;Employee;MJ2847;;15.03.17;30.03.17;15;11,32;;truly non-conforming
reporting;decide on travel expense approval;1470;10.04.17 14:04;10.04.17 14:06;NO;NO;confirm travel expense report;decide on travel expense approval;0,26;381;2;383;0,27;141224;141607;98,34;Manager;CV4719;;15.03.17;30.03.17;15;11,59;;truly non-conforming
reporting;send request for travel expense correction;1470;10.04.17 14:06;10.04.17 14:06;NO;NO;decide on travel expense approval;send request for travel expense correction;0;0;0;0;0;141607;141607;98,34;;;;15.03.17;30.03.17;15;11,59;;truly non-conforming
reporting;correct travel expense report;1470;12.04.17 14:19;12.04.17 14:54;NO;NO;send request for travel expense correction;correct travel expense report;2,01;2893;35;2928;2,03;141607;144535;100,37;Employee;MJ2847;;15.03.17;30.03.17;15;13,6;;truly non-conforming
reporting;decide on travel expense approval;1470;13.04.17 13:59;13.04.17 14:01;NO;NO;correct travel expense report;decide on travel expense approval;0,96;1385;2;1387;0,96;144535;145922;101,33;Manager;CV4719;;15.03.17;30.03.17;15;14,58;;truly non-conforming
reporting;send original documents to archive;1470;24.04.17 06:59;24.04.17 07:53;NO;NO;decide on travel expense approval;send original documents to archive;10,71;15418;54;15472;10,74;145922;161394;112,08;Employee;MJ2847;;15.03.17;30.03.17;15;25,29;;truly non-conforming
reporting;calculate payments;1470;15.05.17 09:06;15.05.17 09:55;NO;NO;send original documents to archive;calculate payments;21,05;30313;49;30362;21,08;161394;191756;133,16;Accounting;GR7476;;15.03.17;30.03.17;15;46,38;1756,07;truly non-conforming
reporting;pay expenses;1470;22.05.17 10:28;22.05.17 10:35;NO;YES;calculate payments;pay expenses;7,02;10113;7;10120;7,03;191756;201876;140,19;Accounting;GR7476;;15.03.17;30.03.17;15;53,44;1498,07;truly non-conforming
planning;file travel request;1471;02.01.17 05:59;02.01.17 06:03;YES;NO;pay expenses;file travel request;;;4;4;0;;4;0;Employee;XY6547;104,75;17.04.17;06.05.17;19;;3290,4;truly non-conforming
planning;check if travel request needs preliminary price inquiry;1471;02.01.17 06:03;02.01.17 06:04;NO;NO;file travel request;check if travel request needs preliminary price inquiry;0;0;1;1;0;4;5;0;;;104,75;17.04.17;06.05.17;19;;;truly non-conforming
planning;prepare booking proposal;1471;03.01.17 15:47;03.01.17 16:54;NO;NO;check if travel request needs preliminary price inquiry;prepare booking proposal;1,4;2023;67;2090;1,45;5;2095;1,45;Travel Department;KS9688;103,3;17.04.17;06.05.17;19;;;truly non-conforming
planning;send booking proposal to employee;1471;05.01.17 15:24;05.01.17 15:29;NO;NO;prepare booking proposal;send booking proposal to employee;1,94;2790;5;2795;1,94;2095;4890;3,4;Travel Department;KS9688;101,35;17.04.17;06.05.17;19;;;truly non-conforming
planning;check booking proposal;1471;05.01.17 19:50;05.01.17 19:59;NO;NO;send booking proposal to employee;check booking proposal;0,18;261;9;270;0,19;4890;5160;3,58;Employee;XY6547;101,17;17.04.17;06.05.17;19;;;truly non-conforming
planning;transform price inquiry to travel request;1471;05.01.17 20:05;05.01.17 20:06;NO;NO;check booking proposal;transform price inquiry to travel request;0;6;1;7;0;5160;5167;3,59;Employee;XY6547;101,16;17.04.17;06.05.17;19;;;truly non-conforming
planning;decide on approval requirements;1471;05.01.17 20:06;05.01.17 20:06;NO;NO;transform price inquiry to travel request;decide on approval requirements;0;0;0;0;0;5167;5167;3,59;;;101,16;17.04.17;06.05.17;19;;;truly non-conforming
planning;forward request to approver;1471;05.01.17 20:06;05.01.17 20:07;NO;NO;decide on approval requirements;forward request to approver;0;0;1;1;0;5167;5168;3,59;;;101,16;17.04.17;06.05.17;19;;;truly non-conforming
planning;decide on request;1471;06.01.17 12:59;06.01.17 13:03;NO;NO;forward request to approver;decide on request;0,7;1012;4;1016;0,71;5168;6184;4,29;Manager;MA6233;100,46;17.04.17;06.05.17;19;;;truly non-conforming
planning;send request for correction;1471;06.01.17 13:03;06.01.17 13:04;NO;NO;decide on request;send request for correction;0;0;1;1;0;6184;6185;4,3;;;100,46;17.04.17;06.05.17;19;;;truly non-conforming
planning;correct request;1471;03.02.17 08:04;03.02.17 08:35;NO;NO;send request for correction;correct request;27,79;40020;31;40051;27,81;6185;46236;32,11;Employee;XY6547;72,64;17.04.17;06.05.17;19;;;truly non-conforming
planning;decide on approval requirements;1471;03.02.17 08:35;03.02.17 08:36;NO;NO;correct request;decide on approval requirements;0;0;1;1;0;46236;46237;32,11;;;72,64;17.04.17;06.05.17;19;;;truly non-conforming
planning;forward request to approver;1471;03.02.17 08:36;03.02.17 08:36;NO;NO;decide on approval requirements;forward request to approver;0;0;0;0;0;46237;46237;32,11;;;72,64;17.04.17;06.05.17;19;;;truly non-conforming
planning;check if booking is necessary;1471;07.02.17 12:37;07.02.17 12:41;NO;NO;forward request to approver;check if booking is necessary;4,17;6001;4;6005;4,17;46237;52242;36,28;Travel Department;KS9688;68,47;17.04.17;06.05.17;19;;;truly non-conforming
reporting;check if expense documents exist;1471;12.05.17 12:04;12.05.17 12:50;NO;NO;check if booking is necessary;check if expense documents exist;93,97;135323;46;135369;94,01;52242;187611;130,29;Employee;XY6547;;17.04.17;06.05.17;19;6,5;;truly non-conforming
reporting;upload travel expense documents;1471;12.05.17 12:50;12.05.17 12:58;NO;NO;check if expense documents exist;upload travel expense documents;0;0;8;8;0,01;187611;187619;130,29;Employee;XY6547;;17.04.17;06.05.17;19;6,53;;truly non-conforming
reporting;file travel expense report;1471;12.05.17 12:58;12.05.17 13:03;NO;NO;upload travel expense documents;file travel expense report;0;0;5;5;0;187619;187624;130,29;Employee;XY6547;;17.04.17;06.05.17;19;6,54;;truly non-conforming
reporting;confirm travel expense report;1471;12.05.17 13:03;12.05.17 13:04;NO;NO;file travel expense report;confirm travel expense report;0;0;1;1;0;187624;187625;130,3;Employee;XY6547;;17.04.17;06.05.17;19;6,54;;truly non-conforming
reporting;decide on travel expense approval;1471;12.05.17 14:01;12.05.17 14:04;NO;NO;confirm travel expense report;decide on travel expense approval;0,04;57;3;60;0,04;187625;187685;130,34;Manager;MA6233;;17.04.17;06.05.17;19;6,58;;truly non-conforming
reporting;send original documents to archive;1471;22.05.17 13:01;22.05.17 13:20;NO;NO;decide on travel expense approval;send original documents to archive;9,96;14337;19;14356;9,97;187685;202041;140,31;Employee;XY6547;;17.04.17;06.05.17;19;16,54;;truly non-conforming
reporting;calculate payments;1471;22.06.17 08:59;22.06.17 09:34;NO;NO;send original documents to archive;calculate payments;30,82;44379;35;44414;30,84;202041;246455;171,15;Accounting;FI12;;17.04.17;06.05.17;19;47,37;3272,03;truly non-conforming
reporting;pay expenses;1471;26.06.17 09:17;26.06.17 09:28;NO;YES;calculate payments;pay expenses;3,99;5743;11;5754;4;246455;252209;175,15;Accounting;FI12;;17.04.17;06.05.17;19;51,39;3272,03;truly non-conforming
planning;file travel request;1473;02.01.17 05:59;02.01.17 06:14;YES;NO;pay expenses;file travel request;;;15;15;0,01;;15;0,01;Employee;IX6854;23,74;26.01.17;30.01.17;4;;430,9;truly non-conforming
